Product URL,Product Name,Product Price,Rating,Number of Reviews,ASIN,Product Description,Manufacturer,Description
https://www.amazon.in/Convertible-Backpack-Messenger-Briefcase-Multi-functional/dp/B07D1RWS48,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",₹599,3.9 out of 5 stars,"5,655",,,,
https://www.amazon.in/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹819,4.0 out of 5 stars,M.R.P:,,,,
https://www.amazon.in/Glowic-Grocery-Shoulder-Handbags-WBAG-50/dp/B09YRWZBW8,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,3.0 out of 5 stars,894,,,,
https://www.amazon.in/F-Gear-Repel-Laptop-Backpacks/dp/B01GTS0LS2,"Genie Moonlight Laptop Backpack for Women, 3 compartments, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres. (19 inch) Black colour","₹1,004",3.6 out of 5 stars,979,,,,
https://www.amazon.in/TRUE-Anti-Theft-backpack-charging-Epower_B/dp/B0BYBDX8VP,"Glowic Canvas Grocery, Travel, Beach | Shoulder Handbags Women, College Bags for Girls Stylish Trendy(WBAG-50)",₹519,4.1 out of 5 stars,4,,,,
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31,F Gear Repel 30 ltrs Rain and Dust Cover for Laptop Bags and Backpacks,₹250,3.7 out of 5 stars,274,,,,
https://www.amazon.in/gp/bestsellers/computers/1375466031/ref=sr_bs_15_1375466031_1,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",₹599,3.9 out of 5 stars,"2,295",,,,Amazon.in Bestsellers: The most popular items in Laptop Messenger & Shoulder Bags
https://www.amazon.in/s/?k=bags+for+girls&ref=sugsr_0&pd_rd_w=2eN2V&content-id=amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403:amzn1.sym.f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_p=f0166a2b-0975-4017-be10-7ecf88afb403&pf_rd_r=C1JJCRHC72WJK897CT66&pd_rd_wg=WN33R&pd_rd_r=b4d56972-ff96-4088-858b-25a10c1831e7&qid=1692636056,Lunar's Bingo - 48 L Laptop Office/School/Travel/Business Backpack Water Resistant - Fits Up to 15.6 Inch Laptop Notebook with 1 Year Warranty,₹819,4.0 out of 5 stars,261,,,,
https://www.amazon.in/gp/help/customer/display.html?nodeId=201889520,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.3 out of 5 stars,"10,094",,,,
https://www.amazon.in/Genie-Moonlight-compartments-Lightweight-Travelling/dp/B097PGGTNJ,Wildcraft 31 Ltrs 18.50 inchs Backpack (11954 Blue_Blue),"₹1,198",4.2 out of 5 stars,"6,454",,,,
https://www.amazon.in/Glowic-Grocery-Shoulder-Handbags-WBAG-50/dp/B09YRWZBW8,"Gizga Essentials Travel Toiletry Kit Bag for Men & Women, Travel Organizer Case with Handle & Hook, Premium Zipper, Multiple Pockets, Multi-Utility Pouch for Shaving Makeup Cosmetics, Light Grey",₹349,3.6 out of 5 stars,bags for girls,,"Brand: Glowic Product Type: Canvas Tote Bag Color: Brown Material: Canvas Description: Perfect shoulder bag/Tote Bag/Sholder Bag/handbag/ hiking or travelling Bag, suitable for office, school, outdoor, business and other occasions. The stitching on this product is nice and very strong. These tote bags are resilient, tenacious, and long-lasting. The dual Hand-stitched Nylon Handles perfectly sit on your shoulder and helps you to carry all kinds of stuff easily! The bag is light in weight, spacious in space, perfect in workmanship, and exquisite in craftsmanship. It is very suitable for day travel, vacation, travel, day hiking, college, office, beach, and camping. Its elegant design can show your style.",Visit the Glowic Store,"Buy Glowic Canvas Grocery, Travel, Beach | Shoulder Handbags Women, College Bags for Girls Stylish Trendy(WBAG-50) from Totes at Amazon.in. 30 days free exchange or return"
https://www.amazon.in/F-Gear-Repel-Laptop-Backpacks/dp/B01GTS0LS2,"FunBlast Unicorn Pop it Sling Bag - Crossbody Bag for Kids, Pop it Purse for Girls, Pop It Bag for Girls, Pop it Bag for Girls, (Pack of 1 Pcs Random Color)",₹351,4.2 out of 5 stars,or,,,,
https://www.amazon.in/TRUE-Anti-Theft-backpack-charging-Epower_B/dp/B0BYBDX8VP,Skybags Chase 32L Unisex Adjustable Strap Polyester Red Backpacks,"₹1,154",3.9 out of 5 stars,Price and other details may vary based on product size and colour.,,,,
https://www.amazon.in/Lunars-Bingo-Laptop-Resistant-48L/dp/B08YZ5XY31,"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women, Blue- with Warranty",₹949,3.7 out of 5 stars,4,,,,
https://www.amazon.in/gp/bestsellers/computers/1375466031/ref=sr_bs_5_1375466031_1,"BEAUTY GIRLS By HOTSHOT Girls School Bag (15ltr , Navy Blue, 1565)",₹549,3.9 out of 5 stars,274,,,,Amazon.in Bestsellers: The most popular items in Laptop Messenger & Shoulder Bags
https://www.amazon.in/Wildcraft-Music-Backpack-Blue-11954/dp/B07N2PDVX4,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Black | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",₹699,5.0 out of 5 stars,"2,295",,"A sporty versatile Backpack from Wildcraft, made of Polyester; Synthetic. It has a top opening compartment & 2 for quick & easy access to essentials while the mesh padding on the back panel will feel comfortable, even on a hot day. This backpack can be carried in 2 ways as it has an additional front handle to hold it in case you’re unable to carry it on your back.",Brand: Wildcraft,"Wildcraft 31 Ltrs 18.50 inchs Backpack (11954 Blue_Blue) : Amazon.in: Bags, Wallets and Luggage"
https://www.amazon.in/Gizga-Essentials-Organizer-Multi-Utility-Cosmetics/dp/B09WVRKYCJ,"Hian Heavy Double Layer Produce Bags Washable, Reusable, Multipurpose, Lightweight Mesh Grocery Bags for Fruits, (Pack of 06)",₹249,5.0 out of 5 stars,261,,,,
https://www.amazon.in/FunBlast-Mens-Womens-Sling-Multicolour/dp/B09N42KLNX,"Yogwise Yoga Mat Bag for Women and Men, Fabric Exercise Mat Carry Bag Cover and Shoulder Strap Water Proof Polyster Material 4mm to 6mm Yoga Mat Fit Black",₹195,3.8 out of 5 stars,"10,094",,,,
